x,y,z,name,state
49.91,55.53,26.83,SE-20_07-12F_c_001.jpg,1
49.76,55.33,30.71,SE-20_07-12F_c_002.jpg,1
49.7,55.13,34.39,SE-20_07-12F_c_003.jpg,1
49.71,55.03,37.87,SE-20_07-12F_c_004.jpg,1
49.56,55.23,41.76,SE-20_07-12F_c_005.jpg,1
49.49,55.43,45.43,SE-20_07-12F_c_006.jpg,1
50.17,52.83,49.22,SE-20_07-12F_c_008.jpg,1
49.57,52.63,45.24,SE-20_07-12F_c_009.jpg,1
49.74,52.43,41.36,SE-20_07-12F_c_010.jpg,1
49.8,52.33,37.68,SE-20_07-12F_c_011.jpg,1
40.36,54.83,33.88,SE-20_07-12F_c_012.jpg,1
41.53,54.73,29.54,SE-20_07-12F_c_013.jpg,1
42.69,54.63,25.19,SE-20_07-12F_c_014.jpg,1
49.91,49.93,26.83,SE-20_07-12F_c_015.jpg,1
49.85,49.83,30.52,SE-20_07-12F_c_016.jpg,1
49.87,49.73,34,SE-20_07-12F_c_017.jpg,1
49.8,49.73,37.68,SE-20_07-12F_c_018.jpg,1
49.82,49.83,41.17,SE-20_07-12F_c_019.jpg,1
49.75,49.83,44.86,SE-20_07-12F_c_020.jpg,1
49.68,50.13,48.54,SE-20_07-12F_c_021.jpg,1
49.68,47.43,48.54,SE-20_07-12F_c_022.jpg,1
49.84,47.23,44.66,SE-20_07-12F_c_023.jpg,1
49.91,47.23,40.98,SE-20_07-12F_c_024.jpg,1
49.89,47.23,37.49,SE-20_07-12F_c_025.jpg,1
49.87,47.23,34,SE-20_07-12F_c_026.jpg,1
49.85,47.33,30.52,SE-20_07-12F_c_027.jpg,1
42.69,48.13,25.19,SE-20_07-12F_c_028.jpg,1
49.91,44.83,26.83,SE-20_07-12F_c_029.jpg,1
49.85,44.73,30.52,SE-20_07-12F_c_030.jpg,1
49.87,44.73,34,SE-20_07-12F_c_031.jpg,1
49.89,44.73,37.49,SE-20_07-12F_c_032.jpg,1
49.91,44.73,40.98,SE-20_07-12F_c_033.jpg,1
49.92,44.73,44.46,SE-20_07-12F_c_034.jpg,1
49.77,44.83,48.35,SE-20_07-12F_c_035.jpg,1
49.77,42.23,48.35,SE-20_07-12F_c_036.jpg,1
49.92,42.23,44.46,SE-20_07-12F_c_037.jpg,1
49.91,42.33,40.98,SE-20_07-12F_c_038.jpg,1
49.89,42.33,37.49,SE-20_07-12F_c_039.jpg,1
49.87,42.33,34,SE-20_07-12F_c_040.jpg,1
49.85,42.23,30.52,SE-20_07-12F_c_041.jpg,1
49.83,42.23,27.03,SE-20_07-12F_c_042.jpg,1
49.91,39.73,26.83,SE-20_07-12F_c_043.jpg,1
49.85,39.83,30.52,SE-20_07-12F_c_044.jpg,1
