x,y,z,name,state
0.86,30.93,-0.43,SW-20_04-09F_m_033.jpg,1
0.5,31.53,14.49,SW-20_04-09F_m_034.jpg,1
7.2,30.83,-0.35,SW-20_04-09F_m_035.jpg,1
10.37,30.73,-0.31,SW-20_04-09F_m_036.jpg,1
13.54,30.73,-0.27,SW-20_04-09F_m_037.jpg,1
16.71,30.73,-0.23,SW-20_04-09F_m_038.jpg,1
19.88,30.73,-0.18,SW-20_04-09F_m_039.jpg,1
23.05,30.83,-0.15,SW-20_04-09F_m_040.jpg,1
23.05,28.53,-0.15,SW-20_04-09F_m_041.jpg,1
19.21,28.53,-0.48,SW-20_04-09F_m_042.jpg,1
16.71,28.53,-0.23,SW-20_04-09F_m_043.jpg,1
13.54,28.63,-0.27,SW-20_04-09F_m_044.jpg,1
10.37,28.63,-0.31,SW-20_04-09F_m_045.jpg,1
7.29,28.53,-0.54,SW-20_04-09F_m_046.jpg,1
4.12,28.53,-0.57,SW-20_04-09F_m_047.jpg,1
0.86,28.43,-0.43,SW-20_04-09F_m_048.jpg,1
0.86,26.03,-0.43,SW-20_04-09F_m_049.jpg,1
4.03,26.13,-0.38,SW-20_04-09F_m_050.jpg,1
7.29,26.33,-0.54,SW-20_04-09F_m_051.jpg,1
10.45,26.33,-0.5,SW-20_04-09F_m_052.jpg,1
13.54,26.23,-0.27,SW-20_04-09F_m_053.jpg,1
16.71,26.23,-0.23,SW-20_04-09F_m_054.jpg,1
19.88,26.23,-0.18,SW-20_04-09F_m_055.jpg,1
22.97,26.13,0.04,SW-20_04-09F_m_056.jpg,1
23.14,23.83,-0.34,SW-20_04-09F_m_057.jpg,1
19.97,23.93,-0.38,SW-20_04-09F_m_058.jpg,1
16.8,24.03,-0.42,SW-20_04-09F_m_059.jpg,1
13.54,24.03,-0.27,SW-20_04-09F_m_060.jpg,1
10.45,23.93,-0.5,SW-20_04-09F_m_061.jpg,1
7.29,23.93,-0.54,SW-20_04-09F_m_062.jpg,1
4.12,23.73,-0.57,SW-20_04-09F_m_063.jpg,1
0.95,23.63,-0.62,SW-20_04-09F_m_064.jpg,1
0.95,21.13,-0.62,SW-20_04-09F_m_065.jpg,1
3.94,21.23,-0.19,SW-20_04-09F_m_066.jpg,1
7.2,21.43,-0.35,SW-20_04-09F_m_067.jpg,1
10.45,21.63,-0.5,SW-20_04-09F_m_068.jpg,1
13.63,21.73,-0.46,SW-20_04-09F_m_069.jpg,1
16.8,21.73,-0.42,SW-20_04-09F_m_070.jpg,1
19.97,21.53,-0.38,SW-20_04-09F_m_071.jpg,1
23.23,21.43,-0.53,SW-20_04-09F_m_072.jpg,1
23.88,18.83,-0.23,SW-20_04-09F_m_073.jpg,1
20.54,18.93,0.12,SW-20_04-09F_m_074.jpg,1
16.89,19.23,-0.61,SW-20_04-09F_m_075.jpg,1
13.71,19.23,-0.66,SW-20_04-09F_m_076.jpg,1
10.54,19.23,-0.69,SW-20_04-09F_m_077.jpg,1
7.77,18.93,0.14,SW-20_04-09F_m_078.jpg,1
4.12,18.73,-0.57,SW-20_04-09F_m_079.jpg,1
0.95,18.43,-0.62,SW-20_04-09F_m_080.jpg,1
0.95,15.73,-0.62,SW-20_04-09F_m_081.jpg,1
4.03,16.03,-0.38,SW-20_04-09F_m_082.jpg,1
7.86,16.33,-0.05,SW-20_04-09F_m_083.jpg,1
11.21,16.73,-0.39,SW-20_04-09F_m_084.jpg,1
14.47,16.83,-0.55,SW-20_04-09F_m_085.jpg,1
17.63,16.73,-0.5,SW-20_04-09F_m_086.jpg,1
20.72,16.33,-0.28,SW-20_04-09F_m_087.jpg,1
24.06,16.23,-0.62,SW-20_04-09F_m_088.jpg,1
1.61,68.63,-0.32,SW-20_10-15F_n_001.jpg,1
5.52,68.33,-0.17,SW-20_10-15F_n_002.jpg,1
8.79,67.93,-0.33,SW-20_10-15F_n_003.jpg,1
12.04,67.73,-0.47,SW-20_10-15F_n_004.jpg,1
15.64,69.13,3.92,SW-20_10-15F_n_005.jpg,1
19.13,67.83,-0.29,SW-20_10-15F_n_006.jpg,1
22.31,68.03,-0.25,SW-20_10-15F_n_007.jpg,1
27.03,69.03,1.65,SW-20_10-15F_n_008.jpg,1
25.56,65.43,-0.4,SW-20_10-15F_n_009.jpg,1
22.22,65.33,-0.06,SW-20_10-15F_n_010.jpg,1
18.55,65.03,-0.78,SW-20_10-15F_n_011.jpg,1
15.3,65.03,-0.63,SW-20_10-15F_n_012.jpg,1
11.96,65.13,-0.28,SW-20_10-15F_n_013.jpg,1
8.7,65.33,-0.13,SW-20_10-15F_n_014.jpg,1
4.78,65.53,-0.28,SW-20_10-15F_n_015.jpg,1
1.61,65.83,-0.32,SW-20_10-15F_n_016.jpg,1
1.7,62.93,-0.51,SW-20_10-15F_n_017.jpg,1
4.86,62.83,-0.47,SW-20_10-15F_n_018.jpg,1
8.7,62.63,-0.13,SW-20_10-15F_n_019.jpg,1
11.87,62.53,-0.09,SW-20_10-15F_n_020.jpg,1
15.13,62.53,-0.25,SW-20_10-15F_n_021.jpg,1
18.29,62.63,-0.21,SW-20_10-15F_n_022.jpg,1
21.55,62.63,-0.36,SW-20_10-15F_n_023.jpg,1
25.47,62.73,-0.21,SW-20_10-15F_n_024.jpg,1
24.81,60.13,-0.51,SW-20_10-15F_n_025.jpg,1
21.64,60.03,-0.56,SW-20_10-15F_n_026.jpg,1
18.21,60.03,-0.01,SW-20_10-15F_n_027.jpg,1
15.13,60.03,-0.25,SW-20_10-15F_n_028.jpg,1
11.87,60.03,-0.09,SW-20_10-15F_n_029.jpg,1
8.7,60.13,-0.13,SW-20_10-15F_n_030.jpg,1
4.78,60.23,-0.28,SW-20_10-15F_n_031.jpg,1
1.61,60.33,-0.32,SW-20_10-15F_n_032.jpg,1
1.61,57.63,-0.32,SW-20_10-15F_n_033.jpg,1
4.86,57.53,-0.47,SW-20_10-15F_n_034.jpg,1
8.03,57.53,-0.43,SW-20_10-15F_n_035.jpg,1
11.96,57.53,-0.28,SW-20_10-15F_n_036.jpg,1
15.13,57.53,-0.25,SW-20_10-15F_n_037.jpg,1
18.29,57.53,-0.21,SW-20_10-15F_n_038.jpg,1
21.46,57.53,-0.17,SW-20_10-15F_n_039.jpg,1
24.73,57.63,-0.32,SW-20_10-15F_n_040.jpg,1
24.9,55.13,-0.7,SW-20_10-15F_n_041.jpg,1
